set STOCKS := AAPL ABBV ABT ACN ADBE AIG AMD AMGN AMT AMZN AVGO AXP BA BAC BK BKNG BLK BMY C CAT CHTR CL CMCSA COF COP COST CRM CSCO CVS CVX DE DHR DIS DUK EMR FDX GD GE GILD GM GOOG GOOGL GS HD HON IBM INTC INTU ISRG JNJ JPM KO LIN LLY LMT LOW MA MCD MDLZ MDT MET META MMM MO MRK MS MSFT NEE NFLX NKE NOW NVDA ORCL PEP PFE PG PLTR PM PYPL QCOM RTX SBUX SCHW SO SPG T TGT TMO TMUS TSLA TXN UNH UNP UPS USB V VZ WFC WMT XOM;

set T := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249;

param q := 10;

param returns :=
AAPL 1 -0.019167
ABBV 1 0.005381
ABT 1 0.002939
ACN 1 0.002139
ADBE 1 0.013018
AIG 1 0.010404
AMD 1 0.019586
AMGN 1 0.000490
AMT 1 -0.033180
AMZN 1 -0.001634
AVGO 1 0.014016
AXP 1 -0.000275
BA 1 0.016267
BAC 1 -0.035327
BK 1 -0.019786
BKNG 1 -0.005124
BLK 1 -0.017458
BMY 1 -0.005154
C 1 -0.026298
CAT 1 -0.011074
CHTR 1 0.002608
CL 1 0.000000
CMCSA 1 -0.007862
COF 1 -0.019902
COP 1 -0.005528
COST 1 -0.003216
CRM 1 0.016526
CSCO 1 -0.006634
CVS 1 0.001015
CVX 1 -0.008313
DE 1 -0.002006
DHR 1 0.002837
DIS 1 0.008234
DUK 1 -0.013386
EMR 1 -0.002416
FDX 1 -0.006748
GD 1 0.001932
GE 1 0.019909
GILD 1 -0.006494
GM 1 -0.000703
GOOG 1 -0.002111
GOOGL 1 -0.002970
GS 1 -0.010028
HD 1 -0.009173
HON 1 -0.017110
IBM 1 0.013793
INTC 1 -0.001377
INTU 1 -0.001029
ISRG 1 0.003153
JNJ 1 -0.021275
JPM 1 -0.011428
KO 1 -0.001376
LIN 1 0.002316
LLY 1 -0.005368
LMT 1 0.002715
LOW 1 -0.007217
MA 1 0.000065
MCD 1 -0.003005
MDLZ 1 0.001670
MDT 1 -0.012215
MET 1 -0.007344
META 1 -0.000940
MMM 1 -0.002738
MO 1 -0.004884
MRK 1 -0.008955
MS 1 0.024715
MSFT 1 0.002272
NEE 1 -0.016733
NFLX 1 0.017080
NKE 1 0.003115
NOW 1 0.012191
NVDA 1 0.016442
ORCL 1 0.006173
PEP 1 0.003294
PFE 1 -0.008491
PG 1 0.003216
PLTR 1 -0.000913
PM 1 0.010158
PYPL 1 -0.001260
QCOM 1 -0.007419
RTX 1 0.008198
SBUX 1 0.002935
SCHW 1 0.025832
SO 1 -0.009066
SPG 1 -0.014327
T 1 -0.009236
TGT 1 -0.010242
TMO 1 -0.005951
TMUS 1 -0.000188
TSLA 1 -0.027062
TXN 1 0.007454
UNH 1 0.052196
UNP 1 -0.011456
UPS 1 -0.013531
USB 1 -0.010618
V 1 0.000258
VZ 1 -0.008477
WFC 1 -0.009830
WMT 1 -0.001502
XOM 1 -0.008272
AAPL 2 -0.008147
ABBV 2 0.010521
ABT 2 -0.030309
ACN 2 0.001911
ADBE 2 -0.003717
AIG 2 -0.016664
AMD 2 -0.057751
AMGN 2 -0.005910
AMT 2 -0.001103
AMZN 2 -0.011128
AVGO 2 -0.034934
AXP 2 -0.003069
BA 2 -0.001994
BAC 2 0.015859
BK 2 0.008518
BKNG 2 -0.006881
BLK 2 0.005496
BMY 2 -0.008703
C 2 0.020168
CAT 2 -0.004335
CHTR 2 0.001786
CL 2 0.006731
CMCSA 2 -0.003323
COF 2 0.002639
COP 2 -0.009264
COST 2 -0.001089
CRM 2 -0.003929
CSCO 2 -0.002713
CVS 2 -0.006229
CVX 2 0.000768
DE 2 0.009847
DHR 2 -0.003953
DIS 2 -0.008254
DUK 2 0.017552
EMR 2 -0.015069
FDX 2 -0.007058
GD 2 -0.002944
GE 2 -0.006953
GILD 2 -0.005645
GM 2 -0.004688
GOOG 2 0.005641
GOOGL 2 0.006930
GS 2 0.017765
HD 2 -0.005973
HON 2 -0.001888
IBM 2 -0.003537
INTC 2 -0.015995
INTU 2 0.002813
ISRG 2 -0.011570
JNJ 2 0.002215
JPM 2 -0.003982
KO 2 0.007751
LIN 2 0.002266
LLY 2 0.005397
LMT 2 0.003830
LOW 2 0.002233
MA 2 0.000739
