symbol,log_return
PM,0.5145345166887638
TSLA,0.4836299562592929
T,0.45957799900597057
NFLX,0.44293862620539226
GE,0.4226544298441911
BK,0.4090366814730552
GILD,0.3903535904321453
WMT,0.3721551795510413
GS,0.36379240837813664
AVGO,0.3513193461927672
RTX,0.3466156873263864
MS,0.313795472047312
MO,0.2906216732824303
PGR,0.2885904346064169
IBM,0.2779148654234711
ISRG,0.26424654612099424
AAPL,0.25924039671028976
ICE,0.2580284611702381
COF,0.25519800713505475
NVDA,0.24823046991468029
SO,0.24514469341324055
COST,0.23940874184923766
DUK,0.22241155051781014
APD,0.21383272339144732
META,0.2097297513900308
VRTX,0.209553984657924
AXP,0.20893695325872083
CSCO,0.20724673925946518
ALL,0.20690904548873912
ADP,0.20452290909149215
V,0.20358561221730775
C,0.19689562718761525
DE,0.1894304980077631
SPGI,0.1880669855804181
AON,0.18465724437765033
ORLY,0.18322387713829613
GM,0.16890588765963996
BLK,0.16789959079064537
ABBV,0.1602989834561963
BAC,0.1575756234594009
MMC,0.14610652759411885
MA,0.134440999533166
KO,0.13398751929056163
CB,0.13276181107163848
AMZN,0.12462507462166554
GOOG,0.11852487400449294
SCHW,0.11558549400805489
AMGN,0.11424864295594682
NEE,0.11392598019038891
LLY,0.11350500795101487
ECL,0.10791266637229276
AIG,0.09586971907656486
MCD,0.09377365688826293
NOW,0.093634906028759
TXN,0.08331458535527035
MDT,0.08048319956093902
SYK,0.06487810469939388
UNH,0.06184990709601128
ADI,0.05446752452535576
CVX,0.053843391203702545
JNJ,0.051294900282454356
FIS,0.044560215819482475
CL,0.02548013681866792
HCA,0.01996115001642631
XOM,0.010100816697483651
USB,0.004868391013603376
SHW,0.002098832602097001
LIN,-0.01707206649716776
LMT,-0.026023497633006994
ZTS,-0.02837761027699215
ETN,-0.02976829744834349
UNP,-0.03655224996951611
CAT,-0.04143821972907109
QCOM,-0.04597640911632572
NSC,-0.052248489393498666
HD,-0.05348062607967989
BDX,-0.053660603806556975
BA,-0.057153786954415385
MSFT,-0.07390785645545948
ACN,-0.08417010136304971
LOW,-0.08781342851208564
TMO,-0.09940946120819977
CI,-0.105349820380526
PLD,-0.14408421914464656
DHR,-0.15410377849358178
FDX,-0.15551854776134402
PEP,-0.16627219243836905
PSX,-0.2153590923423729
F,-0.23272005303374066
ADBE,-0.254450650851694
EW,-0.26993466976237473
AMAT,-0.3002187770395074
UPS,-0.30527285020774914
MRK,-0.3093205840454102
REGN,-0.37882405530376684
BIIB,-0.4305875903767175
TGT,-0.4715715977096056
INTC,-0.5530186751092933
EL,-0.7330362792376502
